"teste1";"Demanda";"Area";"Volume";"EficienciaGlobal"
"282";"Agudo";"300";"150";"20000";"99.2387886811186"
"283";"Agudo";"300";"150";"30000";"99.2884328975674"
"284";"Agudo";"300";"150";"40000";"99.2884328975674"
"285";"Agudo";"300";"150";"50000";"99.2884328975674"
"286";"Agudo";"300";"200";"500";"42.8429587953003"
"287";"Agudo";"300";"200";"1000";"56.8426278338573"
"288";"Agudo";"300";"200";"2000";"70.163825914281"
"289";"Agudo";"300";"200";"3000";"78.4709581333775"
"290";"Agudo";"300";"200";"4000";"85.2060234982625"
"291";"Agudo";"300";"200";"5000";"89.1279165977164"
"292";"Agudo";"300";"200";"6000";"92.2224060896906"
"293";"Agudo";"300";"200";"7000";"94.3571073969883"
"294";"Agudo";"300";"200";"8000";"95.7636935297038"
"295";"Agudo";"300";"200";"9000";"96.8889624358762"
"296";"Agudo";"300";"200";"10000";"97.6005295383088"
"297";"Agudo";"300";"200";"20000";"99.3546251861658"
"298";"Agudo";"300";"200";"30000";"99.3546251861658"
"299";"Agudo";"300";"200";"40000";"99.3546251861658"
"300";"Agudo";"300";"200";"50000";"99.3546251861658"
"301";"Agudo";"300";"300";"500";"43.6041701141817"
"302";"Agudo";"300";"300";"1000";"58.4146946880688"
"303";"Agudo";"300";"300";"2000";"72.3481714380275"
"304";"Agudo";"300";"300";"3000";"81.1682938937614"
"305";"Agudo";"300";"300";"4000";"87.8702631143472"
"306";"Agudo";"300";"300";"5000";"91.6763197087539"
"307";"Agudo";"300";"300";"6000";"94.3736554691378"
"308";"Agudo";"300";"300";"7000";"96.3594241270892"
"309";"Agudo";"300";"300";"8000";"97.55088532186"
"310";"Agudo";"300";"300";"9000";"98.2955485685918"
"311";"Agudo";"300";"300";"10000";"98.7919907330796"
"312";"Agudo";"300";"300";"20000";"99.5035578355122"
"313";"Agudo";"300";"300";"30000";"99.5035578355122"
"314";"Agudo";"300";"300";"40000";"99.5035578355122"
"315";"Agudo";"300";"300";"50000";"99.5035578355122"
"316";"Agudo";"300";"400";"500";"43.8689392685752"
"317";"Agudo";"300";"400";"1000";"59.1924540790998"
"318";"Agudo";"300";"400";"2000";"73.4734403441999"
"319";"Agudo";"300";"400";"3000";"82.326658944233"
"320";"Agudo";"300";"400";"4000";"89.1941088863148"
"321";"Agudo";"300";"400";"5000";"92.7850405427768"
"322";"Agudo";"300";"400";"6000";"95.3003475095151"
"323";"Agudo";"300";"400";"7000";"97.3357603839153"
"324";"Agudo";"300";"400";"8000";"98.2955485685918"
"325";"Agudo";"300";"400";"9000";"98.9243753102764"
"326";"Agudo";"300";"400";"10000";"99.304980969717"
"327";"Agudo";"300";"400";"20000";"99.5862981962601"
"328";"Agudo";"300";"400";"30000";"99.5862981962601"
"329";"Agudo";"300";"400";"40000";"99.5862981962601"
"330";"Agudo";"300";"400";"50000";"99.5862981962601"
"331";"Agudo";"300";"500";"500";"44.0840642065199"
"332";"Agudo";"300";"500";"1000";"59.7219923878868"
