"cidade";"Demanda";"Area";"Volume";"EficienciaGlobal"
"221";"Agudo";"200";"500";"10000";"99.9543753992153"
"222";"Agudo";"200";"500";"20000";"99.9543753992153"
"223";"Agudo";"200";"500";"30000";"99.9543753992153"
"224";"Agudo";"200";"500";"40000";"99.9543753992153"
"225";"Agudo";"200";"500";"50000";"99.9543753992153"
"226";"Agudo";"200";"1000";"500";"59.321105940323"
"227";"Agudo";"200";"1000";"1000";"73.1362350579432"
"228";"Agudo";"200";"1000";"2000";"90.8294552422666"
"229";"Agudo";"200";"1000";"3000";"96.7241536636554"
"230";"Agudo";"200";"1000";"4000";"98.7681357788119"
"231";"Agudo";"200";"1000";"5000";"99.4160051099553"
"232";"Agudo";"200";"1000";"6000";"99.6076284332512"
"233";"Agudo";"200";"1000";"7000";"99.7445022356054"
"234";"Agudo";"200";"1000";"8000";"99.8448763573319"
"235";"Agudo";"200";"1000";"9000";"99.9178757185875"
"236";"Agudo";"200";"1000";"10000";"99.9543753992153"
"237";"Agudo";"200";"1000";"20000";"99.9543753992153"
"238";"Agudo";"200";"1000";"30000";"99.9543753992153"
"239";"Agudo";"200";"1000";"40000";"99.9543753992153"
"240";"Agudo";"200";"1000";"50000";"99.9543753992153"
"241";"Agudo";"300";"50";"500";"42.0202573227484"
"242";"Agudo";"300";"50";"1000";"50.5246829090245"
"243";"Agudo";"300";"50";"2000";"57.9979925175655"
"244";"Agudo";"300";"50";"3000";"62.1042065881924"
"245";"Agudo";"300";"50";"4000";"64.7960580344922"
"246";"Agudo";"300";"50";"5000";"66.5571676247833"
"247";"Agudo";"300";"50";"6000";"67.6247832831463"
"248";"Agudo";"300";"50";"7000";"68.3365270553883"
"249";"Agudo";"300";"50";"8000";"68.7927730632357"
"250";"Agudo";"300";"50";"9000";"69.1486449493567"
"251";"Agudo";"300";"50";"10000";"69.4223925540652"
"252";"Agudo";"300";"50";"20000";"70.7546308969796"
"253";"Agudo";"300";"50";"30000";"71.1652523040423"
"254";"Agudo";"300";"50";"40000";"71.1652523040423"
"255";"Agudo";"300";"50";"50000";"71.1652523040423"
"256";"Agudo";"300";"100";"500";"45.5333515831736"
"257";"Agudo";"300";"100";"1000";"58.1622410803905"
"258";"Agudo";"300";"100";"2000";"69.988137603796"
"259";"Agudo";"300";"100";"3000";"77.7260698968884"
"260";"Agudo";"300";"100";"4000";"83.0458983483894"
"261";"Agudo";"300";"100";"5000";"86.1118715211242"
"262";"Agudo";"300";"100";"6000";"88.4113514006752"
"263";"Agudo";"300";"100";"7000";"90.3184597134775"
"264";"Agudo";"300";"100";"8000";"91.6780728168629"
"265";"Agudo";"300";"100";"9000";"92.8369376767953"
"266";"Agudo";"300";"100";"10000";"93.8954284150014"
"267";"Agudo";"300";"100";"20000";"98.7133862578702"
"268";"Agudo";"300";"100";"30000";"99.5985035130943"
"269";"Agudo";"300";"100";"40000";"99.9452504790583"
"270";"Agudo";"300";"100";"50000";"99.9543753992153"
"271";"Agudo";"300";"150";"500";"46.9203394470298"
"272";"Agudo";"300";"150";"1000";"60.9088420476321"
"273";"Agudo";"300";"150";"2000";"74.1764759558354"
"274";"Agudo";"300";"150";"3000";"82.8086504243088"
"275";"Agudo";"300";"150";"4000";"88.4296012409891"
"276";"Agudo";"300";"150";"5000";"91.5594488548225"
"277";"Agudo";"300";"150";"6000";"93.7585546126471"
"278";"Agudo";"300";"150";"7000";"95.3280408796423"
"279";"Agudo";"300";"150";"8000";"96.4595309791039"
"280";"Agudo";"300";"150";"9000";"97.3902728351127"
"281";"Agudo";"300";"150";"10000";"97.9742677251574"
"282";"Agudo";"300";"150";"20000";"99.9543753992153"
"283";"Agudo";"300";"150";"30000";"99.9543753992153"
"284";"Agudo";"300";"150";"40000";"99.9543753992153"
"285";"Agudo";"300";"150";"50000";"99.9543753992153"
"286";"Agudo";"300";"200";"500";"47.6229582991149"
"287";"Agudo";"300";"200";"1000";"62.4144538735286"
"288";"Agudo";"300";"200";"2000";"76.1657085500502"
"289";"Agudo";"300";"200";"3000";"84.9986312619765"
"290";"Agudo";"300";"200";"4000";"90.948079204307"
"291";"Agudo";"300";"200";"5000";"93.9593028561"
"292";"Agudo";"300";"200";"6000";"95.8755360890592"
"293";"Agudo";"300";"200";"7000";"97.162149831189"
"294";"Agudo";"300";"200";"8000";"97.9560178848435"
"295";"Agudo";"300";"200";"9000";"98.4852632539465"
"296";"Agudo";"300";"200";"10000";"98.8685099005384"
"297";"Agudo";"300";"200";"20000";"99.9543753992153"
"298";"Agudo";"300";"200";"30000";"99.9543753992153"
"299";"Agudo";"300";"200";"40000";"99.9543753992153"
"300";"Agudo";"300";"200";"50000";"99.9543753992153"
"301";"Agudo";"300";"300";"500";"48.4350761930833"
"302";"Agudo";"300";"300";"1000";"63.9018158591112"
"303";"Agudo";"300";"300";"2000";"78.337439547404"
"304";"Agudo";"300";"300";"3000";"87.0152386166621"
"305";"Agudo";"300";"300";"4000";"92.7365635550689"
"306";"Agudo";"300";"300";"5000";"95.4375399215257"
"307";"Agudo";"300";"300";"6000";"97.1256501505612"
"308";"Agudo";"300";"300";"7000";"98.1932658089242"
"309";"Agudo";"300";"300";"8000";"98.7316360981841"
"310";"Agudo";"300";"300";"9000";"99.0510083036773"
"311";"Agudo";"300";"300";"10000";"99.3338808285428"
"312";"Agudo";"300";"300";"20000";"99.9543753992153"
"313";"Agudo";"300";"300";"30000";"99.9543753992153"
"314";"Agudo";"300";"300";"40000";"99.9543753992153"
"315";"Agudo";"300";"300";"50000";"99.9543753992153"
"316";"Agudo";"300";"400";"500";"48.836572679989"
"317";"Agudo";"300";"400";"1000";"64.7595583538644"
"318";"Agudo";"300";"400";"2000";"79.2316817227849"
"319";"Agudo";"300";"400";"3000";"87.9733552331417"
"320";"Agudo";"300";"400";"4000";"93.5851811296651"
"321";"Agudo";"300";"400";"5000";"96.1492836937677"
"322";"Agudo";"300";"400";"6000";"97.7096450406059"
"323";"Agudo";"300";"400";"7000";"98.5947622958299"
"324";"Agudo";"300";"400";"8000";"99.0692581439912"
"325";"Agudo";"300";"400";"9000";"99.279131307601"
"326";"Agudo";"300";"400";"10000";"99.4981293913678"
"327";"Agudo";"300";"400";"20000";"99.9543753992153"
"328";"Agudo";"300";"400";"30000";"99.9543753992153"
"329";"Agudo";"300";"400";"40000";"99.9543753992153"
"330";"Agudo";"300";"400";"50000";"99.9543753992153"
"331";"Agudo";"300";"500";"500";"49.1650698056392"
"332";"Agudo";"300";"500";"1000";"65.2340542020257"
"333";"Agudo";"300";"500";"2000";"79.9525504151839"
"334";"Agudo";"300";"500";"3000";"88.639474404599"
"335";"Agudo";"300";"500";"4000";"94.0961766584542"
"336";"Agudo";"300";"500";"5000";"96.632904462086"
