Cidade,Area_Captacao_m2,Volume_Reservatorio_L,Eficiencia_Global_Percentual
300,500,8000,99.1039761060295
300,500,9000,99.533320888557
300,500,10000,99.7759940265074
300,500,20000,100.0
300,500,30000,100.0
300,500,40000,100.0
300,500,50000,100.0
300,1000,500,43.0838155684152
300,1000,1000,59.2682471532574
300,1000,2000,75.3593429158111
300,1000,3000,85.2342729139444
300,1000,4000,92.5518013813702
300,1000,5000,95.818555161471
300,1000,6000,97.7226059361583
300,1000,7000,99.1226432704872
300,1000,8000,99.6266567108456
300,1000,9000,99.9253313421691
300,1000,10000,100.0
300,1000,20000,100.0
300,1000,30000,100.0
300,1000,40000,100.0
300,1000,50000,100.0
400,50,500,31.6781780847489
400,50,1000,35.0756020160538
400,50,2000,38.9210378943439
400,50,3000,41.105096135897
400,50,4000,42.1691245099869
400,50,5000,42.7104722792608
400,50,6000,43.1398170617883
400,50,7000,43.4011573641964
400,50,8000,43.5131603509427
400,50,9000,43.6064961732313
400,50,10000,43.6438305021467
400,50,20000,43.7371663244353
400,50,30000,43.7371663244353
400,50,40000,43.7371663244353
400,50,50000,43.7371663244353
400,100,500,36.5503080082135
400,100,1000,42.2251260033601
400,100,2000,50.5693485159604
400,100,3000,57.5882023520627
400,100,4000,61.3776367369797
400,100,5000,64.2337128990106
400,100,6000,66.3244353182751
400,100,7000,67.8924771327235
400,100,8000,69.3298487959679
400,100,9000,70.4125443345156
400,100,10000,71.4205712152324
400,100,20000,75.5833488893037
400,100,30000,76.6100429344782
400,100,40000,77.1700578682098
400,100,50000,77.1700578682098
400,150,500,38.5850289341049
400,150,1000,45.2678738099683
400,150,2000,55.6094829195445
400,150,3000,65.0177338062348
400,150,4000,70.2072055254807
400,150,5000,74.6499906664178
400,150,6000,77.5060668284488
400,150,7000,79.9327982079522
400,150,8000,81.7995146537241
400,150,9000,83.330222139257
400,150,10000,84.6369236512974
400,150,20000,92.1971252566735
400,150,30000,94.9785327608736
400,150,40000,96.9759193578495
400,150,50000,98.3012880343476
400,200,500,39.705058801568
400,200,1000,46.9292514467052
400,200,2000,58.3162217659138
400,200,3000,68.9565055068135
400,200,4000,74.6499906664178
400,200,5000,79.9701325368677
400,200,6000,83.2742206458839
400,200,7000,85.8876236699645
400,200,8000,87.717005786821
400,200,9000,89.2663804368116
400,200,10000,90.703752100056
400,200,20000,97.4425984692925
400,200,30000,99.3466492439798
400,200,40000,100.0
400,200,50000,100.0
400,300,500,40.9557588202352
400,300,1000,48.739966399104
400,300,2000,61.2656337502333
400,300,3000,73.3619563188352
400,300,4000,79.6527907410864
400,300,5000,85.1969385850289
400,300,6000,88.5196938585029
400,300,7000,91.3571028560762
400,300,8000,93.2051521373903
400,300,9000,94.7171924584656
400,300,10000,95.818555161471
400,300,20000,99.6826582042188
400,300,30000,100.0
400,300,40000,100.0
400,300,50000,100.0
400,400,500,41.4411050961359
400,400,1000,49.6733246219899
400,400,2000,62.6656710845623
400,400,3000,75.2473399290648
400,400,4000,81.5755086802315
400,400,5000,87.4743326488706
400,400,6000,90.6850849355983
400,400,7000,93.6344969199179
400,400,8000,95.2585402277394
400,400,9000,96.6399103976106
400,400,10000,97.5172671271234
400,400,20000,99.9626656710846
400,400,30000,100.0
400,400,40000,100.0
400,400,50000,100.0
400,500,500,41.963785700952
400,500,1000,50.3640097069255
400,500,2000,63.4310248273287
400,500,3000,76.2553668097816
400,500,4000,82.8635430278141
400,500,5000,88.7810341609109
400,500,6000,92.0104536120963
400,500,7000,94.7918611162964
400,500,8000,96.1732312861676
400,500,9000,97.4425984692925
400,500,10000,98.207952212059
400,500,20000,100.0
400,500,30000,100.0
400,500,40000,100.0
400,500,50000,100.0
400,1000,500,42.8038081015494
400,1000,1000,51.6520440545081
400,1000,2000,65.2417397797275
400,1000,3000,78.551428038081
400,1000,4000,84.8235952958746
400,1000,5000,90.83442225126
400,1000,6000,93.5411610976293
400,1000,7000,96.1918984506253
400,1000,8000,97.4985999626657
400,1000,9000,98.6186298301288
400,1000,10000,99.2159790927758
400,1000,20000,100.0
400,1000,30000,100.0
400,1000,40000,100.0
400,1000,50000,100.0
500,50,500,26.6380436811648
500,50,1000,30.3901437371663
500,50,2000,33.8995706552175
500,50,3000,35.4116109762927
500,50,4000,36.1769647190592
500,50,5000,36.587642337129
500,50,6000,36.8116483106216
500,50,7000,36.9236512973679
500,50,8000,36.9796527907411
500,50,9000,37.0169871196565
500,50,10000,37.054321448572
500,50,20000,37.1103229419451
500,50,30000,37.1103229419451
500,50,40000,37.1103229419451
500,50,50000,37.1103229419451
500,100,500,29.3261153630764
500,100,1000,35.8036214299048
500,100,2000,44.222512600336
500,100,3000,49.5239873063282
500,100,4000,52.7720739219713
500,100,5000,55.0121336568975
500,100,6000,56.6735112936345
500,100,7000,57.9988799701325
500,100,8000,59.0629083442225
500,100,9000,59.8469292514467
500,100,10000,60.5749486652977
500,100,20000,63.1136830315475
500,100,30000,63.543027814075
500,100,40000,63.543027814075
500,100,50000,63.543027814075
500,150,500,30.2594735859623
500,150,1000,38.0810154937465
500,150,2000,48.870636550308
500,150,3000,56.3375023333956
500,150,4000,61.8069815195072
500,150,5000,65.7270860556281
500,150,6000,68.5831622176591
500,150,7000,70.7112189658391
500,150,8000,72.5406010826955
500,150,9000,74.1459772260594
500,150,10000,75.5833488893037
500,150,20000,83.2742206458839
500,150,30000,85.8876236699645
500,150,40000,86.9516520440545
500,150,50000,87.978346089229
500,200,500,30.9688258353556
500,200,1000,39.2757140190405
