"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"255";"Aceguá";"300";"50";"50000";"54.7507933544895"
"256";"Aceguá";"300";"100";"500";"38.4543587829009"
"257";"Aceguá";"300";"100";"1000";"49.3559828262087"
"258";"Aceguá";"300";"100";"2000";"60.7242859809595"
"259";"Aceguá";"300";"100";"3000";"68.0231472839276"
"260";"Aceguá";"300";"100";"4000";"73.1006160164271"
"261";"Aceguá";"300";"100";"5000";"76.292701138697"
"262";"Aceguá";"300";"100";"6000";"78.7007653537428"
"263";"Aceguá";"300";"100";"7000";"80.7541534440918"
"264";"Aceguá";"300";"100";"8000";"82.1915251073362"
"265";"Aceguá";"300";"100";"9000";"83.6848982639537"
"266";"Aceguá";"300";"100";"10000";"84.9729326115363"
"267";"Aceguá";"300";"100";"20000";"90.8717565801755"
"268";"Aceguá";"300";"100";"30000";"92.8878103416091"
"269";"Aceguá";"300";"100";"40000";"94.4185178271421"
"270";"Aceguá";"300";"100";"50000";"95.5012133656898"
"271";"Aceguá";"300";"150";"500";"39.8730632816875"
"272";"Aceguá";"300";"150";"1000";"52.6600709352249"
"273";"Aceguá";"300";"150";"2000";"66.0070935224939"
"274";"Aceguá";"300";"150";"3000";"74.6499906664178"
"275";"Aceguá";"300";"150";"4000";"81.3141683778234"
"276";"Aceguá";"300";"150";"5000";"85.1036027627403"
"277";"Aceguá";"300";"150";"6000";"87.717005786821"
"278";"Aceguá";"300";"150";"7000";"89.7703938771701"
"279";"Aceguá";"300";"150";"8000";"91.5437745006534"
"280";"Aceguá";"300";"150";"9000";"93.0371476572709"
"281";"Aceguá";"300";"150";"10000";"94.1385103602763"
"282";"Aceguá";"300";"150";"20000";"98.93597162591"
"283";"Aceguá";"300";"150";"30000";"100"
"284";"Aceguá";"300";"150";"40000";"100"
"285";"Aceguá";"300";"150";"50000";"100"
"286";"Aceguá";"300";"200";"500";"40.7317528467426"
"287";"Aceguá";"300";"200";"1000";"54.4894530520814"
"288";"Aceguá";"300";"200";"2000";"68.8445025200672"
"289";"Aceguá";"300";"200";"3000";"78.3274220645884"
"290";"Aceguá";"300";"200";"4000";"85.3462759006907"
"291";"Aceguá";"300";"200";"5000";"89.1357102856076"
"292";"Aceguá";"300";"200";"6000";"91.8237819675191"
"293";"Aceguá";"300";"200";"7000";"93.9705058801568"
"294";"Aceguá";"300";"200";"8000";"95.3705432144857"
"295";"Aceguá";"300";"200";"9000";"96.4345715885757"
"296";"Aceguá";"300";"200";"10000";"97.274593989173"
"297";"Aceguá";"300";"200";"20000";"100"
"298";"Aceguá";"300";"200";"30000";"100"
"299";"Aceguá";"300";"200";"40000";"100"
"300";"Aceguá";"300";"200";"50000";"100"
"301";"Aceguá";"300";"300";"500";"41.5531080828822"
"302";"Aceguá";"300";"300";"1000";"56.3561694978533"
"303";"Aceguá";"300";"300";"2000";"71.7379130110136"
"304";"Aceguá";"300";"300";"3000";"81.5755086802315"
"305";"Aceguá";"300";"300";"4000";"89.0237072988613"
"306";"Aceguá";"300";"300";"5000";"92.8504760126937"
"307";"Aceguá";"300";"300";"6000";"95.2585402277394"
"308";"Aceguá";"300";"300";"7000";"96.9945865223073"
"309";"Aceguá";"300";"300";"8000";"98.0586148963972"
"310";"Aceguá";"300";"300";"9000";"98.7119656524174"
"311";"Aceguá";"300";"300";"10000";"99.1413104349449"
"312";"Aceguá";"300";"300";"20000";"100"
"313";"Aceguá";"300";"300";"30000";"100"
"314";"Aceguá";"300";"300";"40000";"100"
"315";"Aceguá";"300";"300";"50000";"100"
"316";"Aceguá";"300";"400";"500";"42.1317901810715"
"317";"Aceguá";"300";"400";"1000";"57.4201978719433"
"318";"Aceguá";"300";"400";"2000";"72.9139443718499"
"319";"Aceguá";"300";"400";"3000";"83.068881836849"
"320";"Aceguá";"300";"400";"4000";"90.6664177711406"
"321";"Aceguá";"300";"400";"5000";"94.3065148403957"
"322";"Aceguá";"300";"400";"6000";"96.3412357662871"
"323";"Aceguá";"300";"400";"7000";"98.0212805674818"
"324";"Aceguá";"300";"400";"8000";"98.7679671457906"
"325";"Aceguá";"300";"400";"9000";"99.2533134216912"
"326";"Aceguá";"300";"400";"10000";"99.5706552174725"
"327";"Aceguá";"300";"400";"20000";"100"
"328";"Aceguá";"300";"400";"30000";"100"
"329";"Aceguá";"300";"400";"40000";"100"
"330";"Aceguá";"300";"400";"50000";"100"
"331";"Aceguá";"300";"500";"500";"42.430464812395"
"332";"Aceguá";"300";"500";"1000";"58.0548814635057"
"333";"Aceguá";"300";"500";"2000";"73.7539667724473"
"334";"Aceguá";"300";"500";"3000";"83.7969012507"
"335";"Aceguá";"300";"500";"4000";"91.3944371849916"
"336";"Aceguá";"300";"500";"5000";"94.8291954452119"
"337";"Aceguá";"300";"500";"6000";"96.8452492066455"
"338";"Aceguá";"300";"500";"7000";"98.4132910210939"
"339";"Aceguá";"300";"500";"8000";"99.1039761060295"
"340";"Aceguá";"300";"500";"9000";"99.533320888557"
"341";"Aceguá";"300";"500";"10000";"99.7759940265074"
"342";"Aceguá";"300";"500";"20000";"100"
"343";"Aceguá";"300";"500";"30000";"100"
"344";"Aceguá";"300";"500";"40000";"100"
"345";"Aceguá";"300";"500";"50000";"100"
"346";"Aceguá";"300";"1000";"500";"43.0838155684152"
"347";"Aceguá";"300";"1000";"1000";"59.2682471532574"
"348";"Aceguá";"300";"1000";"2000";"75.3593429158111"
"349";"Aceguá";"300";"1000";"3000";"85.2342729139444"
"350";"Aceguá";"300";"1000";"4000";"92.5518013813702"
"351";"Aceguá";"300";"1000";"5000";"95.818555161471"
"352";"Aceguá";"300";"1000";"6000";"97.7226059361583"
"353";"Aceguá";"300";"1000";"7000";"99.1226432704872"
"354";"Aceguá";"300";"1000";"8000";"99.6266567108456"
"355";"Aceguá";"300";"1000";"9000";"99.9253313421691"
"356";"Aceguá";"300";"1000";"10000";"100"
"357";"Aceguá";"300";"1000";"20000";"100"
"358";"Aceguá";"300";"1000";"30000";"100"
"359";"Aceguá";"300";"1000";"40000";"100"
"360";"Aceguá";"300";"1000";"50000";"100"
"361";"Aceguá";"400";"50";"500";"31.6781780847489"
"362";"Aceguá";"400";"50";"1000";"35.0756020160538"
"363";"Aceguá";"400";"50";"2000";"38.9210378943439"
"364";"Aceguá";"400";"50";"3000";"41.105096135897"
"365";"Aceguá";"400";"50";"4000";"42.1691245099869"
"366";"Aceguá";"400";"50";"5000";"42.7104722792608"
"367";"Aceguá";"400";"50";"6000";"43.1398170617883"
"368";"Aceguá";"400";"50";"7000";"43.4011573641964"
